"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"17","Universo - Características da população e dos domicílios",,,"",""
"17.1","Domicílios particulares permanentes",,,"domicílios",1
"17.1.1","Classe de rendimento nominal mensal domiciliar",,,"",""
"17.1.1.1","Sem rendimento","Rondônia","19410","domicílios",1
"17.1.1.1","Sem rendimento","Acre","13857","domicílios",1
"17.1.1.1","Sem rendimento","Amazonas","59992","domicílios",1
"17.1.1.1","Sem rendimento","Roraima","11333","domicílios",1
"17.1.1.1","Sem rendimento","Pará","123086","domicílios",1
"17.1.1.1","Sem rendimento","Amapá","8211","domicílios",1
"17.1.1.1","Sem rendimento","Tocantins","21981","domicílios",1
"17.1.1.1","Sem rendimento","Maranhão","131963","domicílios",1
"17.1.1.1","Sem rendimento","Piauí","42382","domicílios",1
"17.1.1.1","Sem rendimento","Ceará","105404","domicílios",1
"17.1.1.1","Sem rendimento","Rio Grande do Norte","36411","domicílios",1
"17.1.1.1","Sem rendimento","Paraíba","47371","domicílios",1
"17.1.1.1","Sem rendimento","Pernambuco","148308","domicílios",1
"17.1.1.1","Sem rendimento","Alagoas","53796","domicílios",1
"17.1.1.1","Sem rendimento","Sergipe","29520","domicílios",1
"17.1.1.1","Sem rendimento","Bahia","252921","domicílios",1
"17.1.1.1","Sem rendimento","Minas Gerais","182733","domicílios",1
"17.1.1.1","Sem rendimento","Espírito Santo","35952","domicílios",1
"17.1.1.1","Sem rendimento","Rio de Janeiro","241445","domicílios",1
"17.1.1.1","Sem rendimento","São Paulo","532545","domicílios",1
"17.1.1.1","Sem rendimento","Paraná","82796","domicílios",1
"17.1.1.1","Sem rendimento","Santa Catarina","36302","domicílios",1
"17.1.1.1","Sem rendimento","Rio Grande do Sul","82739","domicílios",1
"17.1.1.1","Sem rendimento","Mato Grosso do Sul","22978","domicílios",1
"17.1.1.1","Sem rendimento","Mato Grosso","41298","domicílios",1
"17.1.1.1","Sem rendimento","Goiás","64918","domicílios",1
"17.1.1.1","Sem rendimento","Distrito Federal","21077","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Rondônia","15743","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Acre","12326","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Amazonas","44560","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Roraima","4933","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Pará","147397","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Amapá","6158","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Tocantins","22388","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Maranhão","226729","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Piauí","124884","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Ceará","278094","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Rio Grande do Norte","72877","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Paraíba","116838","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Pernambuco","230398","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Alagoas","92682","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Sergipe","52507","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Bahia","412355","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Minas Gerais","146905","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Espírito Santo","22886","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Rio de Janeiro","61866","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","São Paulo","98030","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Paraná","49855","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Santa Catarina","14239","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Rio Grande do Sul","57026","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Mato Grosso do Sul","16958","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Mato Grosso","17059","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Goiás","29038","domicílios",1
"17.1.1.2","Até 1/2 salário mínimo","Distrito Federal","4950","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Rondônia","69646","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Acre","37162","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Amazonas","133605","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Roraima","19795","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Pará","390143","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Amapá","24484","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Tocantins","76307","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Maranhão","362980","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Piauí","174393","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Ceará","537422","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Rio Grande do Norte","180332","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Paraíba","247217","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Pernambuco","590172","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Alagoas","202516","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Sergipe","138987","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Bahia","951885","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Minas Gerais","925213","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Espírito Santo","155354","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Rio de Janeiro","646991","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","São Paulo","934491","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Paraná","334036","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Santa Catarina","125556","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Rio Grande do Sul","358816","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Mato Grosso do Sul","98604","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Mato Grosso","118400","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Goiás","257413","domicílios",1
"17.1.1.3","Mais de 1/2 a 1 salário mínimo","Distrito Federal","58159","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Rondônia","118367","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Acre","47524","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Amazonas","196610","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Roraima","26269","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Pará","496304","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Amapá","36824","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Tocantins","108448","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Maranhão","449057","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Piauí","237358","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Ceará","680142","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Rio Grande do Norte","251261","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Paraíba","312155","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Pernambuco","705592","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Alagoas","234150","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Sergipe","159549","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Bahia","1113978","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Minas Gerais","1477162","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Espírito Santo","262013","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Rio de Janeiro","1145868","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","São Paulo","2383203","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Paraná","720595","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Santa Catarina","341521","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Rio Grande do Sul","778125","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Mato Grosso do Sul","189927","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Mato Grosso","218028","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Goiás","460903","domicílios",1
"17.1.1.4","Mais de 1 a 2 salários mínimos","Distrito Federal","122562","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Rondônia","150872","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Acre","50486","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Amazonas","231905","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Roraima","30652","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Pará","477298","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Amapá","45087","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Tocantins","109109","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Maranhão","344261","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Piauí","188046","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Ceará","530487","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Rio Grande do Norte","236667","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Paraíba","244918","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Pernambuco","587585","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Alagoas","173819","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Sergipe","134442","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Bahia","934321","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Minas Gerais","2136767","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Espírito Santo","389214","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Rio de Janeiro","1813060","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","São Paulo","4968992","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Paraná","1296457","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Santa Catarina","851477","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Rio Grande do Sul","1409977","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Mato Grosso do Sul","274449","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Mato Grosso","332552","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Goiás","689978","domicílios",1
"17.1.1.5","Mais de 2 a 5 salários mínimos","Distrito Federal","225158","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Rondônia","56762","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Acre","19129","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Amazonas","85806","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Roraima","14351","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Pará","149142","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Amapá","21986","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Tocantins","39090","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Maranhão","91868","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Piauí","51804","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Ceará","143359","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Rio Grande do Norte","74981","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Paraíba","69082","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Pernambuco","174137","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Alagoas","53714","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Sergipe","46701","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Bahia","272989","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Minas Gerais","768993","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Espírito Santo","151958","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Rio de Janeiro","788707","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","São Paulo","2505019","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Paraná","551182","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Santa Catarina","444603","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Rio Grande do Sul","614404","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Mato Grosso do Sul","103850","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Mato Grosso","129363","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Goiás","256737","domicílios",1
"17.1.1.6","Mais de 5 a 10 salários mínimos","Distrito Federal","144005","domicílios",1
"17.1.1.7","Mais de 10 a 20 salários mínimos","Rondônia","18518","domicílios",1
"17.1.1.7","Mais de 10 a 20 salários mínimos","Acre","7321","domicílios",1
