State;variable;kg marine fish per person and year
Rond™nia;Cacao.fresco;0
Acre;Cacao.fresco;0
Amazonas;Cacao.fresco;0
Roraima;Cacao.fresco;0
Par‡;Cacao.fresco;0,023
Amap‡;Cacao.fresco;0
Tocantins;Cacao.fresco;0
Maranh‹o;Cacao.fresco;0
Piau’;Cacao.fresco;0
Cear‡;Cacao.fresco;0
Rio Grande do Norte;Cacao.fresco;0
Para’ba;Cacao.fresco;0,002
Pernambuco;Cacao.fresco;0
Alagoas;Cacao.fresco;0
Sergipe;Cacao.fresco;0
Bahia;Cacao.fresco;0,004
Minas Gerais;Cacao.fresco;0,004
Esp’rito Santo;Cacao.fresco;0,007
Rio de Janeiro;Cacao.fresco;0,008
S‹o Paulo;Cacao.fresco;0,064
Paran‡;Cacao.fresco;0
Santa Catarina;Cacao.fresco;0
Rio Grande do Sul;Cacao.fresco;0,016
Mato Grosso do Sul;Cacao.fresco;0
Mato Grosso;Cacao.fresco;0
Goi‡s;Cacao.fresco;0
Distrito Federal;Cacao.fresco;0
Rond™nia;X9.1.6.Corvina.fresca;0,029
Acre;X9.1.6.Corvina.fresca;0
Amazonas;X9.1.6.Corvina.fresca;0,062
Roraima;X9.1.6.Corvina.fresca;0
Par‡;X9.1.6.Corvina.fresca;0,096
Amap‡;X9.1.6.Corvina.fresca;0
Tocantins;X9.1.6.Corvina.fresca;0
Maranh‹o;X9.1.6.Corvina.fresca;0,351
Piau’;X9.1.6.Corvina.fresca;0
Cear‡;X9.1.6.Corvina.fresca;0,049
Rio Grande do Norte;X9.1.6.Corvina.fresca;0,008
Para’ba;X9.1.6.Corvina.fresca;0,142
Pernambuco;X9.1.6.Corvina.fresca;0,189
Alagoas;X9.1.6.Corvina.fresca;0,125
Sergipe;X9.1.6.Corvina.fresca;0,294
Bahia;X9.1.6.Corvina.fresca;0,409
Minas Gerais;X9.1.6.Corvina.fresca;0,007
Esp’rito Santo;X9.1.6.Corvina.fresca;0,095
